Rk,Player,From,To,Yrs,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
199,Michal Handzus\handzmi01,1999,2001,3,NHL,183,39,54,93,21,86,27,6,6,7,42,9,3,302,12.9,3060,16:43
200,Richie Hansen\hanseri01,1982,1982,1,NHL,2,0,2,2,2,0,0,0,0,0,2,0,0,4,0,,
201,Nick Harbaruk\harbani01,1974,1974,1,NHL,56,5,14,19,4,16,4,0,1,1,12,2,0,50,10,,
202,Scott Harlow\harlosc01,1988,1988,1,NHL,1,0,1,1,-1,0,0,0,0,0,1,0,0,2,0,,
203,Terry Harper\harpete01,1980,1980,1,NHL,11,1,5,6,5,6,1,0,0,0,5,0,0,14,7.1,,
204,Ted Harris\harrite01,1974,1974,1,NHL,24,0,4,4,-4,16,0,0,0,0,4,0,0,32,0,,
205,Gerry Hart\hartge01,1981,1983,3,NHL,106,4,12,16,0,236,4,0,0,0,12,0,0,59,6.8,,
206,Doug Harvey*\harvedo01,1969,1969,1,NHL,70,2,20,22,11,30,1,1,0,0,14,5,1,46,4.3,,
207,Martin Havlat\havlama01,2016,2016,1,NHL,2,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,22,10:54
208,Dale Hawerchuk*\hawerda01,1996,1996,1,NHL,66,13,28,41,5,22,8,5,0,1,13,14,1,136,9.6,,
209,Jochen Hecht\hechtjo01,1999,2001,3,NHL,138,32,46,78,29,76,16,13,3,2,33,13,0,352,9.1,2302,16:41
210,Bret Hedican\hedicbr01,1992,1994,3,NHL,107,1,19,20,-9,94,1,0,0,0,17,2,0,119,0.8,,
211,Jeff Heerema\heereje01,2004,2004,1,NHL,22,1,2,3,-5,4,1,0,0,1,1,1,0,28,3.6,230,10:26
212,Bryan Helmer\helmebr01,1999,2000,2,NHL,44,1,5,6,0,29,0,1,0,1,5,0,0,57,1.8,799,18:09
213,Colin Hemingway\heminco01,2006,2006,1,NHL,3,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,22,7:18
214,Camille Henry\henryca01,1969,1970,2,NHL,68,18,24,42,13,8,10,8,0,1,17,7,0,99,18.2,,
215,T.J. Hensick\hensitj01,2011,2011,1,NHL,13,1,2,3,-5,2,1,0,0,0,1,1,0,12,8.3,118,9:05
216,Bob Hess\hessbo01,1975,1981,6,NHL,293,27,87,114,-15,164,18,7,2,3,55,32,0,465,5.8,,
217,Pat Hickey\hickepa01,1983,1985,3,NHL,125,19,24,43,-7,56,16,0,3,2,23,0,1,134,14.2,,
218,Sean Hill\hillse01,2001,2002,2,NHL,71,1,13,14,6,79,1,0,0,0,10,3,0,76,1.3,1201,16:55
219,Dan Hinote\hinotda01,2007,2009,3,NHL,150,11,14,25,-18,129,11,0,0,1,10,1,3,103,10.7,1702,11:21
220,Jeff Hoggan\hoggaje01,2006,2006,1,NHL,52,2,6,8,-16,34,2,0,0,0,6,0,0,60,3.3,457,8:47
221,Terry Hollinger\hollite01,1994,1995,2,NHL,7,0,0,0,0,2,0,0,0,0,0,0,0,1,0,,
222,Gary Holt\holtga01,1978,1978,1,NHL,50,7,4,11,-7,81,7,0,0,1,3,1,0,62,11.3,,
223,Ron Hoover\hoovero01,1992,1992,1,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
224,Larry Hornung\hornula01,1971,1972,2,NHL,47,2,9,11,-1,10,2,0,0,1,5,4,0,61,3.3,,
225,Bill Houlder\houldbi01,1995,1995,1,NHL,41,5,13,18,16,20,4,1,0,0,10,3,0,59,8.5,,
226,Phil Housley*\houslph01,1994,1994,1,NHL,26,7,15,22,-5,12,3,4,0,1,8,7,0,60,11.7,,
227,Dave Hrechkosy\hrechda01,1976,1977,2,NHL,28,4,5,9,2,2,4,0,0,0,3,2,0,29,13.8,,
228,Tony Hrkac\hrkacto01,1988,1994,4,NHL,201,39,82,121,-15,46,28,9,2,5,47,31,4,303,12.9,,
229,Fran Huck\huckfr01,1971,1973,2,NHL,87,23,28,51,1,38,21,2,0,3,22,6,0,125,18.4,,
230,Fred Hucul\huculfr01,1968,1968,1,NHL,43,2,13,15,-3,30,1,1,0,0,7,6,0,85,2.4,,
231,Charlie Huddy\huddych01,1996,1996,1,NHL,12,0,0,0,-7,6,0,0,0,0,0,0,0,13,0,,
232,Mike Hudson\hudsomi01,1996,1996,1,NHL,32,3,12,15,7,26,3,0,0,0,11,1,0,32,9.4,,
233,Brent Hughes\hughebr01,1973,1974,2,NHL,10,1,1,2,1,0,1,0,0,0,0,1,0,16,6.3,,
234,Pat Hughes\hughepa01,1987,1987,1,NHL,43,1,5,6,-4,26,1,0,0,0,5,0,0,29,3.4,,
235,Brett Hull*\hullbr01,1988,1998,11,NHL,744,527,409,936,-16,286,314,195,18,70,226,176,7,3367,15.7,,
236,Brad Hunt\huntbr01,2017,2017,1,NHL,9,1,4,5,-2,2,0,1,0,0,3,1,0,12,8.3,122,13:36
237,Mark Hunter\huntema01,1986,1988,3,NHL,218,112,94,206,-15,474,73,37,2,7,60,34,0,546,20.5,,
238,Kent Huskins\huskike01,2012,2012,1,NHL,25,2,5,7,9,10,2,0,0,0,5,0,0,16,12.5,387,15:28
239,Ted Irvine\irvinte01,1976,1977,2,NHL,138,24,27,51,-28,118,21,3,0,4,25,2,0,228,10.5,,
240,Barret Jackman\jackmba01,2002,2015,13,NHL,803,28,153,181,53,1026,23,3,2,5,141,5,7,817,3.4,16364,20:23
241,Craig Janney\jannecr01,1992,1995,4,NHL,186,48,185,233,-10,38,28,20,0,14,106,79,0,278,17.3,,
242,Cam Janssen\janssca01,2008,2011,4,NHL,165,2,7,9,-15,470,2,0,0,0,7,0,0,58,3.4,833,5:03
243,Dmitrij Jaskin\jaskidm01,2013,2018,6,NHL,266,25,36,61,17,82,22,3,0,5,35,1,0,399,6.3,3240,12:11
244,Jakub Jerabek\jerabja01,2019,2019,1,NHL,1,0,0,0,-3,2,0,0,0,0,0,0,0,1,0,8,7:52
245,Jaroslav Jirik\jirikja01,1970,1970,1,NHL,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,,
246,Craig Johnson\johnscr01,1995,1996,2,NHL,64,11,10,21,0,36,10,1,0,0,10,0,0,88,12.5,,
247,Erik Johnson\johnser01,2008,2011,3,NHL,203,20,71,91,-16,144,8,11,1,7,44,27,0,399,5,4166,20:31
248,Mark Johnson\johnsma02,1985,1985,1,NHL,17,4,6,10,-2,2,4,0,0,0,5,1,0,37,10.8,,
249,Mike Johnson\johnsmi01,2008,2008,1,NHL,21,2,3,5,-4,8,2,0,0,0,3,0,0,21,9.5,273,13:01
250,Ryan Johnson\johnsry01,2003,2008,5,NHL,289,19,30,49,-32,122,13,1,5,2,26,0,4,241,7.9,3467,12:00
251,Terry Johnson\johnste01,1984,1986,3,NHL,188,2,17,19,6,350,2,0,0,0,15,1,1,96,2.1,,
252,Olli Jokinen\jokinol01,2015,2015,1,NHL,8,1,2,3,3,0,1,0,0,1,2,0,0,17,5.9,88,11:00
253,Jonas Junland\junlajo01,2009,2010,2,NHL,4,0,2,2,-3,2,0,0,0,0,1,1,0,7,0,64,16:00
254,Gord Kannegiesser\kannego01,1968,1972,2,NHL,23,0,1,1,-4,15,0,0,0,0,0,1,0,16,0,,
255,Vitali Karamnov\karamvi01,1993,1995,3,NHL,92,12,20,32,2,65,10,2,0,1,19,1,0,95,12.6,,
256,Paul Kariya*\kariypa01,2008,2010,3,NHL,168,36,87,123,-16,88,28,8,0,3,53,34,0,475,7.6,3021,17:59
257,Alexei Kasatonov\kasatal01,1994,1994,1,NHL,8,0,2,2,5,19,0,0,0,0,2,0,0,6,0,,
258,Ed Kea\keaed01,1980,1983,4,NHL,267,8,53,61,40,225,8,0,0,1,50,2,1,263,3,,
259,Mike Keane\keanemi01,2002,2002,1,NHL,56,4,6,10,-2,22,3,1,0,0,6,0,0,47,8.5,801,14:19
260,Larry Keenan\keenala01,1968,1971,4,NHL,152,28,43,71,8,18,21,7,0,4,26,17,0,312,9,,
261,Bob Kelly\kellybo01,1974,1974,1,NHL,37,9,8,17,1,45,9,0,0,0,8,0,0,70,12.9,,
262,Chris Kenady\kenadch01,1998,1998,1,NHL,5,0,2,2,1,0,0,0,0,0,2,0,0,3,0,,
263,Alexander Khavanov\khavaal01,2001,2004,4,NHL,284,21,69,90,26,173,14,6,1,2,35,31,3,331,6.3,5648,19:53
264,Yuri Khmylev\khmylyu01,1996,1997,2,NHL,9,1,1,2,-6,2,1,0,0,0,1,0,0,16,6.3,,
265,Darin Kimble\kimblda01,1991,1992,2,NHL,72,2,4,6,-1,294,2,0,0,1,4,0,0,26,7.7,,
266,D.J. King\kingdj01,2007,2010,4,NHL,101,4,5,9,-11,185,4,0,0,1,5,0,0,53,7.5,553,5:29
267,Derek King\kingde01,2000,2000,1,NHL,19,2,7,9,0,6,1,1,0,0,5,2,0,29,6.9,242,12:44
268,Ralph Klassen\klassra01,1980,1984,5,NHL,225,18,37,55,-35,45,16,0,2,4,29,1,7,209,8.6,,
269,Fred Knipscheer\knipsfr01,1996,1996,1,NHL,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,,
270,David Koci\kocida01,2009,2009,1,NHL,4,0,0,0,-2,9,0,0,0,0,0,0,0,5,0,14,3:37
271,Tom Koivisto\koivito01,2003,2003,1,NHL,22,2,4,6,1,10,2,0,0,1,1,3,0,26,7.7,368,16:44
272,Neil Komadoski\komadne01,1978,1980,3,NHL,124,3,22,25,-51,155,3,0,0,0,19,2,1,76,3.9,,
273,Igor Korolev\korolig01,1993,1994,2,NHL,147,10,33,43,-13,60,8,2,0,1,30,3,0,169,5.9,,
274,Igor Kravchuk\kravcig01,1996,1997,2,NHL,122,7,36,43,1,59,6,1,0,1,19,17,0,256,2.7,,
275,Murray Kuntz\kuntzmu01,1975,1975,1,NHL,7,1,2,3,6,0,1,0,0,0,2,0,0,16,6.3,,
276,Jordan Kyrou\kyroujo01,2019,2019,1,NHL,16,1,2,3,-1,4,1,0,0,0,2,0,0,16,6.3,155,9:40
277,Neil Labatte\labatne01,1979,1982,2,NHL,26,0,2,2,-4,19,0,0,0,0,2,0,0,17,0,,
278,Nathan LaFayette\lafayna01,1994,1994,1,NHL,38,2,3,5,-9,14,2,0,0,0,3,0,0,23,8.7,,
279,Christian Laflamme\laflach01,2002,2004,3,NHL,71,0,11,11,1,69,0,0,0,0,11,0,0,59,0,1032,14:32
280,Roger Lafreniere\lafrero01,1973,1973,1,NHL,10,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,,
281,Mike Lalor\lalormi01,1989,1990,2,NHL,114,1,30,31,9,135,1,0,0,1,29,1,0,119,0.8,,
282,Dick Lamby\lambydi01,1979,1981,3,NHL,22,0,5,5,-3,22,0,0,0,0,5,0,0,25,0,,
283,Mike Lampman\lampmmi01,1973,1974,2,NHL,33,3,3,6,5,2,3,0,0,0,1,2,0,37,8.1,,
284,Jamie Langenbrunner\langeja01,2012,2013,2,NHL,74,6,19,25,8,32,6,0,0,3,19,0,0,132,4.5,1062,14:21
285,Daniel Laperriere\laperda01,1993,1995,3,NHL,29,1,4,5,-3,23,0,1,0,0,2,2,0,27,3.7,,
286,Ian Laperriere\laperia01,1994,1996,3,NHL,71,16,20,36,8,172,14,2,0,2,18,2,0,85,18.8,,
287,Maxim Lapierre\lapiema01,2014,2015,2,NHL,116,11,13,24,-5,94,11,0,0,1,13,0,0,121,9.1,1259,10:51
288,Guy Lapointe*\lapoigu01,1982,1983,2,NHL,62,3,29,32,-15,47,1,1,1,1,13,16,0,122,2.5,,
289,Rick Lapointe\lapoiri01,1980,1982,3,NHL,231,16,64,80,7,338,16,0,0,4,56,7,1,288,5.6,,
290,Claude Larose\laroscl01,1975,1978,4,NHL,272,60,74,134,-1,128,53,6,1,3,66,8,0,638,9.4,,
291,Don Laurence\lauredo01,1980,1980,1,NHL,20,1,2,3,-7,8,1,0,0,1,2,0,0,35,2.9,,
292,Kevin LaVallee\lavalke01,1985,1986,2,NHL,102,33,37,70,11,14,24,9,0,3,27,10,0,196,16.8,,
293,Brian Lavender\lavenbr01,1972,1972,1,NHL,46,5,11,16,-2,54,5,0,0,1,10,1,0,68,7.4,,
294,Dominic Lavoie\lavoido01,1989,1992,4,NHL,26,2,4,6,-2,28,1,1,0,0,4,0,0,43,4.7,,
295,Stephen Leach\leachst01,1996,1997,2,NHL,31,4,5,9,-5,46,4,0,0,0,3,2,0,66,6.1,,
296,Gary Leeman\leemaga01,1997,1997,1,NHL,2,0,1,1,0,0,0,0,0,0,0,1,0,3,0,,
297,Chuck Lefley\leflech01,1975,1981,5,NHL,233,83,104,187,11,77,68,7,8,13,62,37,5,551,15.1,,
298,Jori Lehtera\lehtejo01,2015,2017,3,NHL,218,30,70,100,27,120,26,3,1,6,53,16,1,253,11.9,3458,15:52
299,Alain Lemieux\lemieal01,1982,1985,4,NHL,81,17,33,50,-9,24,15,2,0,1,27,6,0,105,16.2,,
300,Jocelyn Lemieux\lemiejo01,1987,1988,2,NHL,76,11,8,19,-3,136,10,1,0,1,8,0,0,67,16.4,,
301,Jordan Leopold\leopojo01,2013,2015,3,NHL,49,1,7,8,-1,8,1,0,0,0,3,4,0,63,1.6,788,16:05
302,Craig Levie\leviecr01,1985,1985,1,NHL,61,6,23,29,0,33,4,2,0,1,10,13,0,95,6.3,,
303,Doug Lidster\lidstdo01,1995,1995,1,NHL,37,2,7,9,9,12,1,1,0,0,7,0,0,37,5.4,,
304,Petteri Lindbohm\lindbpe02,2015,2017,3,NHL,40,2,1,3,-9,37,2,0,0,0,1,0,0,51,3.9,587,14:40
305,Joakim Lindstrom\lindsjo01,2015,2015,1,NHL,34,3,3,6,-8,8,1,2,0,0,1,2,0,41,7.3,377,11:05
306,Jim Lorentz\lorenji01,1971,1972,2,NHL,88,19,22,41,-2,46,13,6,0,2,17,5,0,176,10.8,,
307,Reed Low\lowre01,2001,2004,4,NHL,250,3,16,19,-2,694,3,0,0,1,16,0,0,132,2.3,1487,5:57
308,Dave Lowry\lowryda01,1989,1993,5,NHL,311,53,51,104,-8,432,48,0,5,7,46,0,5,387,13.7,,
309,Bernie Lukowich\lukowbe01,1975,1975,1,NHL,26,4,5,9,4,2,2,2,0,2,5,0,0,20,20,,
310,Mackenzie MacEachern\maceama01,2019,2019,1,NHL,19,3,1,4,2,6,3,0,0,1,1,0,0,26,11.5,152,7:59
311,Shane MacEachern\maceash01,1988,1988,1,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
312,Al MacInnis*\macinal01,1995,2004,10,NHL,613,127,325,452,132,551,57,64,6,22,137,177,11,2266,5.6,9686,27:13:00
313,David Mackey\mackeda01,1992,1994,3,NHL,64,4,7,11,-11,128,4,0,0,1,7,0,0,50,8,,
314,Paul MacLean\maclepa01,1981,1991,3,NHL,116,40,44,84,1,124,28,12,0,8,35,9,0,195,20.5,,
315,Bob MacMillan\macmibo01,1976,1978,3,NHL,187,46,83,129,4,75,33,12,1,3,62,19,2,391,11.8,,
316,Bernie MacNeil\macnebe01,1974,1974,1,NHL,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,,
317,Craig MacTavish\mactacr01,1996,1997,2,NHL,63,2,6,8,-18,41,2,0,0,0,6,0,0,42,4.8,,
318,Connie Madigan\madigco01,1973,1973,1,NHL,20,0,3,3,1,25,0,0,0,0,3,0,0,11,0,,
319,Wayne Maki\makiwa01,1970,1970,1,NHL,16,2,1,3,-6,4,2,0,0,1,1,0,0,35,5.7,,
320,John Markell\markejo01,1984,1984,1,NHL,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,,,
321,Mario Marois\maroima01,1991,1992,2,NHL,81,2,15,17,14,119,2,0,0,0,12,2,1,70,2.9,,
322,Pat Maroon\maroopa01,2019,2019,1,NHL,54,4,12,16,-9,52,3,1,0,2,5,7,0,89,4.5,768,14:13
323,Gilles Marotte\marotgi01,1977,1977,1,NHL,47,3,4,7,-14,26,3,0,0,1,3,1,0,62,4.8,,
324,Jason Marshall\marshja02,1992,1992,1,NHL,2,1,0,1,0,4,1,0,0,0,0,0,0,2,50,,
325,Steve Martins\martist02,2003,2004,2,NHL,53,4,3,7,-15,40,2,0,2,0,2,0,1,52,7.7,643,12:08
326,Jamie Masters\masteja01,1976,1979,3,NHL,33,1,13,14,-10,2,0,1,0,0,5,8,0,33,3,,
327,Stephane Matteau\mattest01,1996,1997,2,NHL,120,23,33,56,7,115,17,4,2,4,28,4,1,168,13.7,,
328,Bryan Maxwell\maxwebr01,1980,1981,2,NHL,97,4,21,25,-6,249,4,0,0,0,21,0,0,69,5.8,,
329,Jamal Mayers\mayerja01,1997,2008,10,NHL,595,71,87,158,-78,756,64,0,7,7,81,2,4,940,7.6,7506,12:45
330,Chris McAlpine\mcalpch01,1997,2000,4,NHL,141,5,9,14,3,124,5,0,0,0,9,0,0,119,4.2,901,12:31
331,Dean McAmmond\mcammde01,2006,2006,1,NHL,78,15,22,37,-25,32,11,4,0,0,12,10,0,116,12.9,1251,16:02
332,Jay McClement\mccleja01,2006,2011,6,NHL,449,52,104,156,-60,180,47,2,3,11,90,10,4,625,8.3,6879,15:19
333,Bob McCord\mccorbo01,1973,1973,1,NHL,43,1,13,14,-5,33,1,0,0,0,12,1,0,41,2.4,,
334,Bill McCreary\mccrebi01,1968,1971,4,NHL,282,50,57,107,17,104,34,7,9,7,44,10,3,547,9.1,,
335,Jim McCrimmon\mccriji01,1975,1975,1,NHL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
336,Ab McDonald\mcdonab01,1969,1971,3,NHL,152,46,56,102,25,26,33,13,0,8,38,18,0,339,13.6,,
337,Andy McDonald\mcdonan01,2008,2013,6,NHL,294,90,140,230,-19,118,64,24,2,12,79,61,0,752,12,5488,18:40
338,Jay McKee\mckeeja01,2007,2009,3,NHL,158,3,14,17,4,98,3,0,0,3,13,0,1,104,2.9,2841,17:59
339,Tony McKegney\mckegto01,1988,1989,2,NHL,151,65,55,120,9,140,42,20,3,3,39,15,1,395,16.5,,
340,Don McKenney\mckendo01,1968,1968,1,NHL,39,9,20,29,1,4,8,1,0,1,13,7,0,93,9.7,,
341,Steve McLaren\mclarst01,2004,2004,1,NHL,6,0,0,0,0,25,0,0,0,0,0,0,0,2,0,17,2:47
342,Basil McRae\mcraeba01,1993,1996,4,NHL,112,3,11,14,-21,313,2,1,0,0,11,0,0,64,4.7,,
343,Philip McRae\mcraeph01,2011,2011,1,NHL,15,1,2,3,-10,2,1,0,0,0,2,0,0,13,7.7,136,9:02
344,Gord McTavish\mctavgo01,1979,1979,1,NHL,1,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,,
345,Rick Meagher\meaghri01,1986,1991,6,NHL,413,73,88,161,7,264,58,2,13,9,82,3,3,621,11.8,,
346,Wade Megan\meganwa01,2017,2018,2,NHL,4,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,35,8:41
347,Scott Mellanby\mellasc01,2001,2004,4,NHL,235,62,75,137,-11,370,33,29,0,9,44,31,0,409,15.2,3732,15:53
348,Gerry Melnyk\melnyge01,1968,1968,1,NHL,73,15,35,50,-11,14,11,3,1,3,18,15,2,145,10.3,,
349,Wayne Merrick\merriwa01,1973,1976,4,NHL,209,65,79,144,15,99,58,7,0,7,68,11,0,488,13.3,,
350,Glen Metropolit\metrogl01,2007,2007,1,NHL,20,2,3,5,0,14,1,1,0,0,1,2,0,31,6.5,259,12:58
351,Zbynek Michalek\michazb01,2015,2015,1,NHL,15,2,2,4,3,6,2,0,0,0,2,0,0,19,10.5,294,19:37
352,Joe Micheletti\michejo01,1980,1982,3,NHL,137,9,54,63,4,110,4,5,0,1,28,25,1,200,4.5,,
353,Kevin Miehm\miehmke01,1993,1994,2,NHL,22,1,4,5,-2,8,1,0,0,0,4,0,0,10,10,,
354,Kevin Miller\milleke02,1993,1995,3,NHL,162,49,52,101,16,148,29,14,6,9,38,10,4,326,15,,
355,Tomas Mojzis\mojzito01,2007,2007,1,NHL,6,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,60,10:03
356,Sergio Momesso\momesse01,1989,1997,4,NHL,222,44,70,114,-8,506,40,4,0,5,58,12,0,381,11.5,,
357,Hartland Monahan\monahha01,1980,1981,2,NHL,97,9,14,23,-20,40,5,1,3,0,14,0,0,125,7.2,,
358,Michel Mongeau\mongemi01,1990,1992,3,NHL,50,5,18,23,3,8,2,3,0,0,9,9,0,38,13.2,,
359,Jim Montgomery\montgji01,1994,1994,1,NHL,67,6,14,20,-1,44,6,0,0,1,12,1,1,67,9,,
360,Dickie Moore*\mooredi01,1968,1968,1,NHL,27,5,3,8,-8,9,4,1,0,1,2,1,0,37,13.5,,
361,George Morrison\morrige01,1971,1972,2,NHL,115,17,21,38,-12,13,12,5,0,2,16,5,0,156,10.9,,
362,Brenden Morrow\morrobr01,2014,2014,1,NHL,71,13,12,25,1,76,9,4,0,3,9,3,0,56,23.2,845,11:54
363,Joe Mullen*\mullejo01,1982,1986,5,NHL,301,151,184,335,-1,45,110,41,0,17,124,60,0,891,16.9,,
364,Bob Murdoch\murdobo02,1979,1979,1,NHL,54,13,13,26,-6,17,12,1,0,3,10,3,0,92,14.1,,
365,Joe Murphy\murphjo01,1997,1998,2,NHL,102,24,34,58,7,91,17,6,1,2,25,8,1,203,11.8,,
366,Mike Murphy\murphmi01,1972,1973,2,NHL,127,38,50,88,9,67,33,5,0,6,38,11,1,358,10.6,,
367,Andrew Murray\murraan01,2013,2013,1,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,7:49
368,Ladislav Nagy\nagyla01,2000,2001,2,NHL,51,10,12,22,0,22,7,3,0,2,9,3,0,74,13.5,658,12:54
369,Tyson Nash\nashty01,1999,2003,5,NHL,255,24,26,50,15,479,21,1,2,4,25,1,0,325,7.4,2589,10:09
370,Ric Nattress\nattrri01,1986,1987,2,NHL,151,10,42,52,-40,76,7,3,0,2,19,22,1,259,3.9,,
371,Vaclav Nedomansky\nedomva01,1983,1983,1,NHL,22,2,9,11,-8,2,2,0,0,0,4,5,0,35,5.7,,
372,Petr Nedved\nedvepe01,1994,1994,1,NHL,19,6,14,20,2,8,4,2,0,0,9,5,0,63,9.5,,
373,Scott Nichol\nichosc01,2012,2013,2,NHL,110,4,5,9,-7,108,4,0,0,1,4,0,1,80,5,1038,9:26
374,Eric Nickulas\nickuer01,2003,2004,2,NHL,52,7,12,19,-4,50,6,1,0,1,8,4,0,83,8.4,641,12:19
375,Ville Nieminen\niemivi01,2007,2007,1,NHL,14,0,0,0,-1,29,0,0,0,0,0,0,0,13,0,128,9:09
376,Nikita Nikitin\nikitni01,2011,2012,2,NHL,48,1,8,9,-4,14,1,0,0,0,4,4,0,56,1.8,814,16:57
377,Jim Nill\nillji01,1982,1982,1,NHL,61,9,12,21,-13,127,9,0,0,0,12,0,0,65,13.8,,
378,Jordan Nolan\nolanjo01,2019,2019,1,NHL,14,0,2,2,2,14,0,0,0,0,2,0,0,17,0,111,7:56
379,Brian Noonan\noonabr01,1996,1997,2,NHL,94,15,27,42,4,84,11,3,1,6,21,5,1,144,10.4,,
380,Robert Nordmark\nordmro01,1988,1988,1,NHL,67,3,18,21,-6,60,1,2,0,0,6,12,0,78,3.8,,
381,Joe Noris\norisjo01,1973,1973,1,NHL,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,
382,Jeff Norton\nortoje01,1995,1996,2,NHL,64,6,25,31,25,59,6,0,0,2,16,9,0,60,10,,
383,Craig Norwich\norwicr01,1981,1981,1,NHL,23,4,12,16,1,14,4,0,0,1,7,5,0,64,6.3,,
384,Lee Norwood\norwole01,1986,1993,3,NHL,147,11,42,53,13,291,6,5,0,2,22,19,1,199,5.5,,
385,Ryan O'Reilly\oreilry01,2019,2019,1,NHL,62,24,39,63,23,10,19,4,1,4,24,13,2,171,14,1295,20:54
386,Danny O'Shea\osheada01,1972,1973,2,NHL,95,15,29,44,-9,41,13,0,2,2,25,2,2,135,11.1,,
387,Kevin O'Shea\osheake01,1972,1973,2,NHL,41,3,5,8,-14,33,3,0,0,0,5,0,0,42,7.1,,
388,Adam Oates*\oatesad01,1990,1992,3,NHL,195,58,228,286,20,71,43,12,3,9,141,85,2,425,13.6,,
389,Jaroslav Obsut\obsutja01,2001,2001,1,NHL,4,0,0,0,1,2,0,0,0,0,0,0,0,3,0,74,18:31
390,Gerry Odrowski\odrowge01,1972,1972,1,NHL,55,1,2,3,-1,8,0,0,1,0,1,0,1,30,3.3,,
391,Brian Ogilvie\ogilvbr01,1975,1979,5,NHL,78,14,19,33,-21,25,11,3,0,2,17,1,1,134,10.4,,
392,Christer Olsson\olssoch01,1996,1997,2,NHL,31,2,9,11,-5,14,0,2,0,0,1,8,0,34,5.9,,
393,Vladimir Orszagh\orszavl01,2006,2006,1,NHL,16,4,5,9,-2,14,3,1,0,0,5,0,0,23,17.4,270,16:52
394,Keith Osborne\osborke01,1990,1990,1,NHL,5,0,2,2,-2,8,0,0,0,0,2,0,0,4,0,,
395,T.J. Oshie\oshietj01,2009,2015,7,NHL,443,110,200,310,71,239,80,23,7,20,126,68,6,929,11.8,8269,18:40
396,Steve Ott\ottst01,2014,2016,3,NHL,122,3,14,17,-23,157,3,0,0,0,14,0,0,98,3.1,1469,12:03
397,Nathan Oystrick\oystrna01,2011,2011,1,NHL,9,1,2,3,1,9,0,1,0,0,2,0,0,11,9.1,110,12:10
398,Magnus Paajarvi\paajama01,2014,2018,5,NHL,189,19,20,39,-11,34,18,1,0,5,19,1,0,266,7.1,2158,11:25
399,Cam Paddock\paddoca01,2009,2009,1,NHL,16,2,1,3,-4,0,2,0,0,0,1,0,0,17,11.8,171,10:41
